Company,Age,Share of respondents,Year,Country
Burger King,18 - 29 years,78.34,2017,US
Burger King,30 - 49 years,82.89,2017,US
Burger King,50 - 64 years,85.43,2017,US
Dunkin' Donuts,18-29 years,57.73,2017,US
Dunkin' Donuts,30-49 years,49.72,2017,US
Dunkin' Donuts,50-64 years,46.29,2017,US
Arby's,18-29 years,65.98,2017,US
Arby's,30-49 years,68.9,2017,US
Arby's,50-64 years,71.92,2017,US
KFC,18 - 29 years,82.11,2017,US
KFC,30 - 49 years,86.47,2017,US
KFC,50 - 64 years,90.37,2017,US
McDonald's,18 - 29 years,82.12,2017,US
McDonald's,30 - 49 years,89.99,2017,US
McDonald's,50 - 64 years,91.08,2017,US
Subway,18 - 29 years,93.73,2017,US
Subway,30 - 49 years,94.34,2017,US
Subway,50 - 64 years,90.12,2017,US
Wendy's,18 - 29 years,88.64,2017,US
Wendy's,30 - 49 years,87.26,2017,US
Wendy's,50 - 64 years,83.29,2017,US
Pizza Hut,18 - 29 years,97.56,2017,US
Pizza Hut,30 - 49 years,94.31,2017,US
Pizza Hut,50 - 64 years,92.12,2017,US
Chick-fil-A,18 - 29 years,74.32,2017,US
Chick-fil-A,30 - 49 years,69.45,2017,US
Chick-fil-A,50 - 64 years,71.26,2017,US
Panera Bread,18 - 29 years,56.64,2017,US
Panera Bread,30 - 49 years,43.26,2017,US
Panera Bread,50 - 64 years,46.98,2017,US
Papa John's,18 - 29 years,73.43,2017,US
Papa John's,30 - 49 years,70.12,2017,US
Papa John's,50 - 64 years,72.44,2017,US
Chipotle Mexican Grill,18 - 29 years,51.76,2017,US
Chipotle Mexican Grill,30 - 49 years,56.73,2017,US
Chipotle Mexican Grill,50 - 64 years,59.29,2017,US
Domino's,18 - 29 years,93.65,2017,US
Domino's,30 - 49 years,96.11,2017,US
Domino's,50 - 64 years,97.39,2017,US
Starbucks,18 - 29 years,85.19,2017,US
Starbucks,30 - 49 years,86.28,2017,US
Starbucks,50 - 64 years,89.01,2017,US
Little Caesars,18 - 29 years,40.34,2017,US
Little Caesars,30 - 49 years,42.18,2017,US
Little Caesars,50 - 64 years,45.87,2017,US
Taco Bell,18 - 29 years,84.74,2017,US
Taco Bell,30 - 49 years,85.16,2017,US
Taco Bell,50 - 64 years,87.37,2017,US
Jack in the Box,18 - 29 years,50.29,2017,US
Jack in the Box,30 - 49 years,53.32,2017,US
Jack in the Box,50 - 64 years,62.12,2017,US
Taco Bell,50 - 64 years,87.37,2017,US
Jack in the Box,18 - 29 years,50.29,2017,US
Jack in the Box,30 - 49 years,53.32,2017,US
Jack in the Box,50 - 64 years,62.12,2017,US
